,text,star,Corrected_scent,app_id,reviewDate
440,have to keep updating it for new seasons and everytime it takes up so much storage that its hella laggy. other than that it's the best game of cod on a phone.,4,"Have to keep updating it for new seasons and everytime it takes up so much storage that its hellaggy, other than that it's the best game of cod on a phone.",com.activision.callofduty.shooter,18/03/21
441,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👌,5,,com.activision.callofduty.shooter,18/03/21
442,Super game but some times I felt that UI is somewhat confusing other than that everything is great,5,"Super game, but some times I felt that UI is somewhat confusing, other than that everything is great.",com.activision.callofduty.shooter,18/03/21
443,It is really fun to play and season 2 is amazing but only problem is one of my accounts was removed for no reason i am reaching out to you activision in twitter and here to get my old accounts back that is the only problem i have with the game.,4,"It is really fun to play, and season 2 is amazing, but only problem is one of my accounts was removed for no reason i am reaching to you activision in Twitter and here to get my old accounts back that is the only problem i have with the game.",com.activision.callofduty.shooter,18/03/21
444,Poor App,1,Poor App.,com.ludo.king,18/03/21
445,It's cool😁😁😁😁😁😁😁😁😁😁😁😁😁,5,It's cool.,com.activision.callofduty.shooter,18/03/21
446,This new update made the game worst. It doesn't get started and shows network error while my network is full. Problem is in the game and it puts blame upon the network.,1,"This new update made the game worst, it doesn't get started and shows network error while my network is full.",com.activision.callofduty.shooter,18/03/21
447,It would have been nice if all had got epic items. But indeed it is the best game,2,"It would have been nice if all had got epic items, but indeed it is the best game.",com.activision.callofduty.shooter,18/03/21
448,This game was so awesome and better than pubg,5,This game was so awesome and better than pubg.,com.activision.callofduty.shooter,18/03/21
449,"Call of duty mobile is definitely one if the best mobile games because good graphics/animation , Frequent updates , tons of game mode ect. Very smooth",5,"Call of Duty Mobile is definitely one if the best mobile games, because good graphics/animation, ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', 'Mot of Duty Mobile' is definitely one if the best mobile games, because good graphics/animation, ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ',",com.activision.callofduty.shooter,18/03/21
450,I jst love it,5,I jst love it.,com.activision.callofduty.shooter,18/03/21
451,The game is good friendly and I have never had any problems with anybody cheating or hacking so the game is fun and most people are clean players not hackers and I'm 14 and I don't rage at this game,5,"The game is good, friendly, and I have never had any problems with anybody cheating or hacking, so the game is fun, and most people are clean players, not hackers, and I'm 14 and I don'trage at this game.",com.activision.callofduty.shooter,18/03/21
452,It's amazing it's cool keep doing updates on Call of Duty mobile they are for Keenan,5,"It's amazing, it's cool, keep doing updates on Call of Duty mobile, they are for Keenan.",com.activision.callofduty.shooter,18/03/21
453,Going on .....need more br maps,4,Going on.....need more br maps.,com.activision.callofduty.shooter,18/03/21
454,What does at backpack what does Deepak does Condors are there is one more billions Dee bag I'm curious what does back does cuz there's actually no bu showing on the back,1,What does at backpack What does Deepak do Condors are there is one more billions dee bag I'm curious what does back do cuz there's actually no bu showing on the back?,com.activision.callofduty.shooter,18/03/21
455,Nice,5,Nice.,com.erosnow,18/03/21
456,Ranakashif,1,Ranakashif,com.erosnow,18/03/21
457,Superb hd quality videos,5,Superb hdd quality videos.,com.erosnow,18/03/21
458,Not very great content. Movies are old. No originals.,1,Not very great content. Movies are old. No originals.,com.erosnow,18/03/21
459,Very nice,5,Very nice.,com.erosnow,17/03/21
460,Good very,5,"Good, very.",jp.konami.pesam,18/03/21
461,Nice game ever played Pewerash.......💥💥💥💥💥💥💥💥💥,5,Nice game ever played Pewerash.......,jp.konami.pesam,18/03/21
462,It's awesome,5,It's amazing.,jp.konami.pesam,18/03/21
463,This is the best football game ever,5,This is the best football game ever.,jp.konami.pesam,18/03/21
464,Downloading Is🚮,1,Downloading Is,jp.konami.pesam,18/03/21
465,This game is awesome but when you have been playing it's gone say you have to update and it's not update then I removed and download again,3,"This game is awesome, but when you have been playing it's gone, say you have to update and it's not update, then I removed and download again.",jp.konami.pesam,18/03/21
466,The best game I ever played,5,The best game I ever played.,jp.konami.pesam,18/03/21
467,It is good and the grapics are good,5,It is good and the grapics are good.,jp.konami.pesam,18/03/21
468,Good game control.,4,Good game control.,jp.konami.pesam,18/03/21
469,BEST GAME EVER! Best Graphics and not even a bit lag. I Love This Game Very Very Much. Just fantastic.,5,Best Game Ever!,jp.konami.pesam,18/03/21
470,Awesome game,5,Awesome game.,jp.konami.pesam,18/03/21
471,"Worst experiences, offside decision was very very crucial, sometimes onside also given offside, and many unfair situations",1,"Worst experiences, offside decision was very crucial, sometimes onside, also given offside, and many unfair situations.",jp.konami.pesam,18/03/21
472,"Such a realistic football game. but some more development should be needed, eg:match referee ,line up,and especially take the action against the persons those who are making null during the match .",5,"Such a realistic football game, but some more development should be needed, e.g.,match referee,, line up, and especially take the action against the persons who are making null during the match.",jp.konami.pesam,18/03/21
473,Super,5,Super,jp.konami.pesam,18/03/21
474,Good game.,5,Good game.,jp.konami.pesam,18/03/21
475,Nice game,2,Nice game.,jp.konami.pesam,18/03/21
476,"It a worst game, I never win champaign match again why even no cup match",1,"It a worst game, I never win Champaign match again, why even no cup match.",jp.konami.pesam,18/03/21
477,"It's a good game, but i can't open it after the apdate",1,"It's a good game, but I can't open it after the apdate.",jp.konami.pesam,18/03/21
478,Good game but online mode needs improvement in gameplay because it's full of cheaters.,4,"Good game, but online mode needs improvement in gameplay because it's full of cheaters.",jp.konami.pesam,18/03/21
479,nice,5,nice.,jp.konami.pesam,18/03/21
480,It is a fun game but the fool system is broke I tackle a guy I got the ball first and they give him a penalty,4,"It is a fun game, but the fool system is broke, I tackle a guy I got the ball first and they give him a penalty.",jp.konami.pesam,18/03/21
481,This is fantastic,5,This is fantastic.,jp.konami.pesam,18/03/21
482,"The game is good. Graphics is good. However, needs some work with the game play..key size modification would be much welcome. The direction key can be improved. Little more improvement in other gameplay aspects like auto switching. Thoroughly enjoy playing it. The above mentioned changes would be much much welcome",3,"The game is good. Graphics is good. However, needs some work with the game play.",jp.konami.pesam,18/03/21
483,Good game,4,Good game.,jp.konami.pesam,18/03/21
484,Good game,5,Good game.,jp.konami.pesam,18/03/21
485,The game performs so much better now. I don't know what's happened but keep up the good work,5,"The game performs so much better now. I don't know what's happened, but keep up the good work.",jp.konami.pesam,18/03/21
486,My pes 😆😆,5,My Pes,jp.konami.pesam,18/03/21
487,Nice,5,Nice.,jp.konami.pesam,18/03/21
488,"I consider this game as not only one of the best games but the BEST game in gaming world..it realistic nature ,so fantastic.but one think i could wish is the introduction of table format instead of level format.",5,I consider this game as not only one of the best games but the best game in gaming world.,jp.konami.pesam,18/03/21
489,I love the game,1,I love the game.,jp.konami.pesam,18/03/21
490,Goooood,5,Goodd -,jp.konami.pesam,18/03/21
491,Great game iloveit,5,"Great game, Iloveit.",jp.konami.pesam,18/03/21
492,Online mode is very terrible... Please fix that issues.... Please bring more events please😖😖🙆‍♂️🙆‍♂️🤦‍♀️,2,Online mode is very terrible... Please bring more events please,jp.konami.pesam,18/03/21
493,"1st: poor control configurations and interchanging from an event to another. 2nd: many controls on the screen, some times you be playing and you don't see what you playing cause of the limited screen. 3rd: slow player movements which make it not nice.",3,1st Control configurations and interchanging from an event to another.,jp.konami.pesam,18/03/21
494,Pwover👍👍👍😁,5,Pwover,jp.konami.pesam,18/03/21
495,"Game noob,player noob,control noob,this game is stupid",2,"Game Noob,Play Noob,Control Noob,This game is stupid.",jp.konami.pesam,18/03/21
496,I love pes more than i can describe but we who select location USA initially do not get some feature.... Is there any good news for us near future.,5,"I love Pes more than I can describe, but we who select location (U.S.A.) initially do not get some feature... Is there any good news for us near future?",jp.konami.pesam,18/03/21
497,Very good,5,Very good.,jp.konami.pesam,18/03/21
498,Null is still a great problem which remains unsolved,3,Null is still a great problem which remains unsolved.,jp.konami.pesam,18/03/21
499,Good application for footballers,5,Good application for footballers.,jp.konami.pesam,18/03/21
500,"I love 💕 this game 🎮🎮 ,,but the only problem is online play ... Can u please fixed that problem",3,"I love  This game  ,,,, but the only problem is online play... Can u please fixed that problem?",jp.konami.pesam,18/03/21
501,Great,5,Great.,jp.konami.pesam,18/03/21
502,When i plaing pes was wander full it is a nice game,5,"When I plaing pes was wander full, it is a nice game.",jp.konami.pesam,18/03/21
503,Good,4,Good,jp.konami.pesam,18/03/21
504,The best game i have ever played 😍 Awesome graphics. Even i can play at 60fps..in my phone... Thanks... Luv from kashmir,5,"The best game I have ever played  Awesome graphics, Even i can play at 60fps..in my phone... Thanks... Luv from Kashmir.",jp.konami.pesam,18/03/21
505,Good game,5,Good game.,jp.konami.pesam,18/03/21
506,For last update we need to add friend and chat,5,For last update we need to add friend and chat.,jp.konami.pesam,18/03/21
507,2 star for good graphics.but day by day very irritating to face many lag cheaters and connection lost problem while in good network in online matches. don't download .worst ever cheating game.they do nothing to stop it😒,2,"2) star for good graphics, but day-by-day very irritating to face many cheaters and connection lost problem while in good network in online matches, don't download..worst ever cheating game. They do nothing to stop it.",jp.konami.pesam,18/03/21
508,It is good game,5,It is good game.,jp.konami.pesam,18/03/21
509,Nice game,5,Nice game.,jp.konami.pesam,18/03/21
510,"I think the hand the problem.It annoying to me,please fix it and i give full stars.And you guys have to try this game,it is amazing,real graphics and others",4,"I think the hand the problem. It's annoying to me, please give full stars. And you guys have to try this game. It is amazing, real graphics and others.",jp.konami.pesam,18/03/21
511,Too much lag and scripting...🥲,3,Too muchlag and scripting...,jp.konami.pesam,18/03/21
512,"It's a good game, I personally I love it, except for the fact that you must have data bundles to access and save your scores after each game and also the gold coins are difficult to earn which makes it difficult to sign a player of your choice",4,"It's a good game, I personally, I love it except for the fact that you must have data bundles to access and save your scores after each game, and also the gold coins are difficult to earn, which makes it difficult to sign a player of your choice.",jp.konami.pesam,18/03/21
513,Why my account lag,5,Why my account slip.,jp.konami.pesam,18/03/21
514,Thank you pes you alw make me saty out of berod,5,"Thank you, pes you alw make me saty out of berod.",jp.konami.pesam,18/03/21
515,Very very very nice game.This is very nice,5,Very very nice game. This is very nice.,jp.konami.pesam,18/03/21
516,"It become more worst this recent update. All my passing game is not accurate at all. There are always problem with the pass. I know thats the problem because before this all my pass to the players are correct amd accurate. Now it become worst and shittest. Stupid game and even when i shoot the ball, the keepers can save it easily and it not make any sense. Worst and worst. Stupid game",1,It become more worst this recent update. All my passing game is not accurate at all. There are always problem with the pass.,jp.konami.pesam,18/03/21
517,"I issued a complaint yesterday and it was fixed today, am really impressed and apart from that, PES 21 is totally Phenomenal",5,"I issued a complaint yesterday and it was fixed today, am really impressed and apart from that, PES-21 is totally phenomenal.",jp.konami.pesam,18/03/21
518,My favourite 🎮 game,5,My favourite  game.,jp.konami.pesam,18/03/21
519,Very good experience for me a good game is this my favourite game i am all time playing this game,5,Very good experience for me. A good game is this my favourite game. I am all time playing this game.,jp.konami.pesam,18/03/21
520,Nice gameplay and graphic but the control button are a bit messed up. 1. Cancellation of button pressed not possible. 2. Most times defenders tacles instead of clearing the ball. 3. Players switch instead of passing etc. Please work on the switching of attack/defence button.,3,"Nice gameplay and graphic, but the control button are bitmessed up. 1. Cancellation of button pressed not possible. 2. Most times, Defenders tacles instead of clearing the ball. 3. Players switch instead of passing etc. Please work on the switching of attack/defence button.",jp.konami.pesam,18/03/21
521,Amazing game👍,5,Amazing Game,jp.konami.pesam,18/03/21
522,Fantastic game ever,5,Fantastic game ever.,jp.konami.pesam,18/03/21
523,The game is brilliant but there are many things which needs are to be added and some improvement. First of all i would like to say that there should be a tournament and leagues in the game and players are so much expensive so please add these features that i have said,4,"The game is brilliant, but there are many things which needs to be added and some improvement. First of all, I would like to say that there should be a tournament and leagues in the game and players are so much expensive, so please add these features that I have said.",jp.konami.pesam,18/03/21
524,Good game I don't actually have it before but how my friends say it make me anxious and I tried downloading it It's a very good game,5,"Good game, I don't really have it before, but how my friends say it make me anxious and I tried downloading it, it's a very good game.",jp.konami.pesam,18/03/21
525,"Better one..but why need data during playing it,",4,Better one.,jp.konami.pesam,18/03/21
526,😍🤗🤣😅,5,,jp.konami.pesam,18/03/21
527,Good Game,5,Good Game,jp.konami.pesam,18/03/21
528,Best game ever,5,Best game ever.,jp.konami.pesam,18/03/21
529,Very beautiful game I like it,5,"Very beautiful game, I like it.",jp.konami.pesam,18/03/21
530,Its excellent,5,It's excellent.,jp.konami.pesam,18/03/21
531,Not data transfer,1,Not data transfer.,jp.konami.pesam,18/03/21
532,Fantastic 😌,5,Fantastic,jp.konami.pesam,18/03/21
533,Ok,5,Ok.,jp.konami.pesam,18/03/21
534,🕶🕶🕶🕶🤯🤯🤯🤯,5,,jp.konami.pesam,18/03/21
535,The good game in my career doooper football game,5,"The good game in my career, Doooper football game.",jp.konami.pesam,18/03/21
536,Not a good game..i lost my id always..many update come but this one can do anything,1,Not a good game.,jp.konami.pesam,18/03/21
537,this game is really good but my only issue with this game is that the online matches are always interrupted with a connection problem even if the internet connection is fine.,5,"This game is really good, but my only issue with this game is that the online matches are always interrupted with a connection problem even if the internet connection is fine.",jp.konami.pesam,18/03/21
538,Why these developers are sticking on the tour system atleast they should have added league system Secondly online matches aren't fair in this game and no system to punsih the lag cheaters,3,"Why these developers are sticking on the tour system, least they should have added league system, Second online matches aren't fair in this game, and no system to punsih thelag cheats.",jp.konami.pesam,18/03/21
539,Nice 🙂👍,5,Nice,jp.konami.pesam,18/03/21
540,oo,5,ooh.,jp.konami.pesam,18/03/21
541,Hhh.,5,Hhh.,jp.konami.pesam,18/03/21
542,Entemone level kalii moodeshhh🔥🔥,5,Endone level (kalii moodeshhh).,jp.konami.pesam,18/03/21
543,Too good to be real,5,Too good to be real.,jp.konami.pesam,18/03/21
544,Amazing,5,Amazing,jp.konami.pesam,18/03/21
545,Best ever football mobile game.,5,Best ever football mobile game.,jp.konami.pesam,18/03/21
546,I love this soccer game please dont take long with the game,5,"I love this soccer game, please don't take long with the game.",jp.konami.pesam,18/03/21
547,Best game,5,Best Game,jp.konami.pesam,18/03/21
548,Best ever football game I played.. thank you konami for making PES..,5,Best ever football game I played.,jp.konami.pesam,18/03/21
549,Footballers fans the best game ever played,5,Footballers fans the best game ever played.,jp.konami.pesam,18/03/21
550,This is supper geam in would,5,This is lunch geam in would.,jp.konami.pesam,18/03/21
551,Pes is boring no new events fifa has more events and and pes should improve,1,"Pes is boring, no new events fifa has more events, and pes should improve.",jp.konami.pesam,18/03/21
552,Op,5,Op.,jp.konami.pesam,18/03/21
553,"This game is good in graphic, control and more.",5,"This game is good in graphic, control, and more.",jp.konami.pesam,18/03/21
554,Now the game is going down because of the oppositions you face during online matches they either lag or null your game as result after defeating them 💔😪😪,3,"Now the game is going down because of the oppositions you face during online matches, they either lag or null your game as result after defeating them.",jp.konami.pesam,18/03/21
555,😍😍,5,,jp.konami.pesam,18/03/21
556,Bal er para game bokachoda.. Sala Ekta Iconic dilo nah.. Betichod.. Khali posia khichbe.. Arr poisa na dile Kichu dibe nah.. Randi r pola... Sala gudmarani.. Bessar jhat,5,"Bal er para game, bokachoda...... Sala ekta..conic di lo nah..................................... Arr Poisa Na dile Kichu dibe nah................................................................",jp.konami.pesam,18/03/21
557,Best game ever,5,Best game ever.,jp.konami.pesam,18/03/21
558,Bugging ugh,5,Bugging ugh.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
559,Offline doesn't work like it used to. You need internet for everything like upgrades etc. It saddens me I will have to Uninstall it,1,Online doesn't work like it used to.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
560,awesome,5,Awesome,com.gameloft.android.ANMP.GloftA8HM,18/03/21
561,Nice,5,Nice.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
562,You're allowed the first two races in career mode. Can't get further without $$$$$ Spent more time downloading the game than we are able play it,1,"You're allowed the first two races in career mode. Can't get further without $$$$$$$$, spent more time downloading the game than we are able play it.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
563,"Expenses in the game increase quite bit as you progress. Unfortunately, the earnings from winning do not increase at all so you can never really hope to keep up with upgrades without paying. Plus, you have to collect ""profit"" upgrade cards for some upgrades and then pay again. If they were to fix the problem and make winnings worth much more than the current amount. This game would be greatly improved.",2,"Expenses in the game increase quite bit as you progress. Unfortunately, the earnings from winning do not increase at all, so you can never really hope to keep up with upgrades without paying. Plus, you have to collect ""profit"" upgrade cards for some upgrades and then pay again if they were to collect ""profit"" upgrade cards for some upgrades and then pay again.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
564,Worse game. You can't play if you don't have bundles. Mxm,1,Worse game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
565,Fails to install at 75%,1,Fails to install at 75%.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
566,Just. Love this. Game. 😍😍😍😍. But. Pls. Give. Us. Some. More. Credits,5,"Just., Love this. Game.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
567,Please add BUGGATI SANTODISIE but any ways this game is best,5,"Please add Bugpati Santodisie, but any ways this game is best.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
568,"Came back after a year or 2 without seeing it. Damn you became a greedy jerk man, big changes since I last saw, mainly being pay to win now. No max upgrades? Then have my 1 star & then some. Really need to tune online 🖕. Hope this game goes downhill",1,"Came back after a year or 2) without seeing it. Damn you became a greedyjerk man, big changes since I last saw, mainly being pay to win now. No max upgrades? Then have my #1 star &&quot; some. Really need to tune online",com.gameloft.android.ANMP.GloftA8HM,18/03/21
569,Wow,5,Wow.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
570,Waste of time could only do 2 races then had a 2 day timer for ad to get a car to do any other races uninstalling it now,1,"Waste of time could only do 2 races, then had a 2 day timer for ad to get a car to do any other races installing it now.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
571,Graphics are 👌,4,Graphics are,com.gameloft.android.ANMP.GloftA8HM,18/03/21
572,#super &faster car game,5,#Super &&faster car game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
573,Really great,5,Really great.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
574,Best game ever,5,Best game ever.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
575,"Awesome,interesting and entertaining",5,"Awesome, interesting and entertaining.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
576,5 stars for graphics and gameplay but push the game more towards the online mode,5,5 stars for graphics and gameplay but push the game more towards the online mode.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
577,It's mind blowing,5,It's mind blowing.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
578,"This game is awesome,but one thing,everytime it says that i must upgrade my car online and sometimes i am offline",5,"This game is amazing,but one thing everyday it says that i must upgrade my car online and sometimes i am offline.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
579,The graphics are amazing it looks like Need for Speed but 10 times better !I really like this game and I want it to succes!,5,"The graphics are amazing, it looks like Need for Speed but 10 times better!!I really like this game and I want it to succeed!",com.gameloft.android.ANMP.GloftA8HM,18/03/21
580,i don't like France,1,I don't like France.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
581,Gg,5,Gg.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
582,A very good game if you play need for speed you will board,4,A very good game if you play need for speed you will board.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
583,Asphalt 8,4,Asphalt (8).,com.gameloft.android.ANMP.GloftA8HM,18/03/21
584,The greatest game 🎮 🙌 ever!!!,5,"The greatest game,   ever!!!",com.gameloft.android.ANMP.GloftA8HM,18/03/21
585,It's GB is my problem,1,It's GB is my problem.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
586,Nice👍👏😊👍👍👏👍👍👏👍👏👍👏😊😊😊 game🎮,5,Nice Game,com.gameloft.android.ANMP.GloftA8HM,18/03/21
587,Beat game,5,Beat game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
588,This game is so amaizing in multiplayer i will multiplayer in my sister in this game,5,This game is so amaizing in multiplayer i will multiplayer in my sister in this game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
589,Very good game,5,Very good game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
590,Excellent,5,Excellent.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
591,I juss wanna to modify the bodykit,4,I juss wanna to modify the bodykit.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
592,Love,5,Love,com.gameloft.android.ANMP.GloftA8HM,18/03/21
593,Nice game,5,Nice game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
594,"The best car race ever, I love it",5,"The best car race ever, I love it.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
595,"I've rated dis before 5Stars now it's only 2 cause there's a Malfunction in the Game where ur account will revert back sometime and your money would be Negative. Your game is trash now and I'm not gonna Lie about it, I've worked hard on my account for years and it reverted to 2015 Data of my account. It deleted my account today that I have more cars and a lot of money and gems. It reverted to 2015 of data and the money is on a negative sum of it.",1,"I've rated dis before 5Stars, now it's only 2 because there's a malfunction in the game where Ur account will revert back sometime and your money would be negative. Your game is trash now and I'm not going to lie about it. I've worked hard on my account for years and it reverted to 2015 Data of my account. It deleted my account today that I have more cars and a lot of money and gems. It reverted to 2015 Data and the money is on a negative sum of it.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
596,Very good,5,Very good.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
597,Aman sharma,4,Aman Sharma,com.gameloft.android.ANMP.GloftA8HM,18/03/21
598,Good,5,Good,com.gameloft.android.ANMP.GloftA8HM,18/03/21
599,Wow,1,Wow.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
600,It has very good graphics and control my son likeed it very much,5,It has very good graphics and control my son liked it very much.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
601,Nice game download it guys,5,"Nice game, download it guys.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
602,Madecod game,1,Madecod Game,com.gameloft.android.ANMP.GloftA8HM,18/03/21
603,Best racing game I have ever played. 😀😀,5,Best racing game I have ever played.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
604,Good game,1,Good game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
605,Suck game can't compete the quest on multi-player give on error please don't buy any game season because you can't compete the quest of multi player Quests don't waste your money and the game also really money sucker when you compete to play your state and get the coin only a few hundred and the car they selling is you can't buy have to pay than can get the car.,1,"Suck game can't compete the quest on multiplayer give-on error, please don't buy any game season because you can't compete the quest of multi player Quests, don't waste your money, and the game also really money sucker when you compete to play your state and get the coin only a few hundred, and the car they selling is you can't buy, have to pay than can get the car.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
606,"Install hi nhi ho rha h, ghatiya game",2,"Install hi-nhi ho-rhah, h, ghatiya game.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
607,Very nice racing game,5,Very nice racing game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
608,Super game,5,Super Game,com.gameloft.android.ANMP.GloftA8HM,18/03/21
609,Nostalgic. But there is one problem it is not optimized. I have a Xiaomi redmi 9 it runs games really well but asphalt 8 is the only game that runs bad I don't know why,4,"Nostalgic. But there is one problem, it is not optimized. i have a Xiaomi redmi '9, it runs games really well, but asphalt '8' is the only game that runs bad. I don't know why.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
610,Give me diamond please please please please😭😭😭😭😭😭😭😭😭😭😭🥺🥺🥺🥺🥺🥺🥺🥺❤❤❤❤,5,Give me diamond please please please.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
611,Koi game,5,Koi game,com.gameloft.android.ANMP.GloftA8HM,18/03/21
612,Good game.,5,Good game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
613,I love this game soo much,5,I love this game too much.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
614,Game is so good and I really enjoyed the the game and experience so osme and all types of mobe and themes or car and updates and controls and lots of fun and challenges or game is so good and really good experience of playing of gameing but so larger are filled of mobe of fill only one esho of playing,4,"Game is so good and I really enjoyed the the game and experience so osme and all types of mobe and themes or car and updates and controls, and lots of fun and challenges or game is so good and really good experience of playing, but so larger are filled of mobe of fill only one esho of playing.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
615,OMG,5,OMG.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
616,I like this game,5,I like this game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
617,პანკისში რეგისტრაციიდან,5,,com.gameloft.android.ANMP.GloftA8HM,18/03/21
618,"This game is absolutely amazing for a free game! Ok i agree its kinda p2w but this game is free ya know. The events, the races and everything is awesome! So many cars to choose from! I recommend this game to yall.",5,"This game is absolutely amazing for a free game! Ok, I agree it's kinda p2w, but this game is free ya know. The events, the races, and everything is amazing! - so many cars to choose from! - I recommend this game to yall.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
619,Not good,2,Not good.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
620,Asphalt 8 & 9 is legender..................,5,Asphalt (8 &&#9;) is legender.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
621,"I would love to see a new option in the next update, that is to sell cars.",5,"I would love to see a new option in the next update, that is to sell cars.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
622,Nice,5,Nice.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
623,"Its alright. Not enough coin for wins and cars are way to expensive for how little money u make like itll no doubt take a year to buy 1 nice car like he r32 and when u use real currency u can only buy once you cant stack little amounts they made it so if u want to use real money u have to spen like 50$ to buy 1 car like the r32 costs 790,000 when per race win u get around 200 or multiplayer 1000 and thats for wins not worth the time plus every 5 or so campain unlocks u have to buy a new car.",1,"It's right. Not enough coin for wins and cars are way to expensive for how little money u make like it'll certainly take a year to buy $1 nice car like he r32, and when u use real currency u can only buy once you cant stack little amounts they made it. So if u want to use real money u have topen like $50$ to buy $1 car like the r32 costs $790,000 when per race win u get around $200 or multiplayer $1,000, and that's for wins not worth the time plus every 5 or so campain unlocks u have to buy a new car.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
624,Nice game is this please dowload,5,Nice game is this pleasedow.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
625,egyhhhvgbmnbkkbhkvchkkv DC igfvkibsvjfcgjgjnbvsxwghv no MN gjhjgg CNN kvtu by Kmart go go gjg 💄👞🐩👞🏢🐶💄Good Night 💤🌙 😊 Sweet Dream 🌠🌠🌠🌠🌠🌠🌠 Good Night 💤🌙 😊 Sweet Dream 🌠🌠🌠🌠🌠🌠🌠,5,egyhhhvgbmnbkbhkvchkv DC igfvkibsvjfcgjgjnbvsxwghv No MN gjhjgg CNN kvtu by Kmart go go gjg Good Night   Sweet Dream   Sweet Dream,com.gameloft.android.ANMP.GloftA8HM,18/03/21
626,"I love this game, the greatest so far. It's been my #1 game for over 8 years.",5,"I love this game, the greatest so far. It's been my #1 game for over 8 years.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
627,nice,5,nice.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
628,I like the game but it still have some issues,2,"I like the game, but it still have some issues.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
629,Nice game,5,Nice game.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
630,A high level of full experience in this game It has new dream cars 👍👍👍👍👍👍👍👍 And it has can play challenge with your friends It has BEYOND road It as real cars and we have to aparade it It's my favourite game,5,"A high level of full experience in this game, it has new dream cars  And it has can play challenge with your friends. It has beyond road it as real cars and we have to aparade it. It's my favourite game.",com.gameloft.android.ANMP.GloftA8HM,18/03/21
631,Nice,5,Nice.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
632,Good Ok,5,Good Ok.,com.gameloft.android.ANMP.GloftA8HM,18/03/21
